IFCI IN Equity,price,volume,mc,pe,bm,div
2022-12-31,13.8,693196795.0,30303.8079,208.6546,0.7835,0.0
2023-01-31,12.6,365285145.0,27668.6941,190.5108,0.7835,0.0
2023-02-28,10.9,202593998.0,23935.6164,164.8069,0.7835,0.0
2023-03-31,9.8,134088972.0,21520.0954,142.8831,0.6481,0.0
2023-04-30,11.35,96405163.0,24923.784,142.8831,0.7506,0.0
2023-05-31,11.05,188009182.0,24265.0056,142.8831,0.7307,0.0
2023-06-30,11.55,221275649.0,28755.0401,142.8831,0.7605,0.0
2023-07-31,13.25,286234143.0,32987.3837,142.8831,0.7605,0.0
2023-08-31,15.25,536297403.0,37966.6114,142.8831,0.7605,0.0
2023-09-30,24.4,1589474792.0,60746.5783,142.8831,1.6126,0.0
2023-10-31,21.7,1027887270.0,54024.6208,142.8831,1.4342,0.0
2023-11-30,25.4,727284543.0,63236.1921,142.8831,1.6787,0.0
2023-12-31,29.15,1044136361.0,72572.2441,142.8831,1.9001,0.0
2024-01-31,61.05,1497492975.0,151990.9263,142.8831,1.9001,0.0
2024-02-29,45.9,818345119.0,114273.2763,142.8831,1.9001,0.0
2024-03-31,39.65,232181670.0,98713.1897,90.5783,2.1782,0.0
2024-04-30,45.5,311956349.0,113277.4308,103.9423,2.4996,0.0
2024-05-31,58.1,805058115.0,151849.6401,132.7263,3.1918,0.0
2024-06-30,61.58,725989284.0,160944.9369,105.0835,3.3104,0.0
2024-07-31,87.33,1685216281.0,228244.9065,149.0248,3.3104,0.0
2024-08-31,74.93,794822029.0,195836.3775,127.8647,3.3104,0.0
2024-09-30,66.1,362321671.0,172758.3685,129.0695,2.9474,0.0
2024-10-31,57.76,204137234.0,150961.0191,112.7845,2.5755,0.0
2024-11-30,63.87,374319028.0,166930.0604,124.7152,2.848,0.0
2024-12-31,62.26,207772022.0,162722.1788,193.2778,2.6362,0.0
2025-01-31,56.23,196916060.0,146962.2248,174.5585,2.6362,0.0
2025-02-28,41.09,174009987.0,107392.4563,127.5584,2.6362,0.0
2025-03-31,43.07,177739674.0,112567.3666,66.0454,1.3353,0.0
2025-04-30,42.27,137072706.0,113888.6668,64.8187,1.3105,0.0
2025-05-31,67.42,1138158970.0,181650.6722,103.3848,2.0902,0.0
2025-06-30,65.17,457538250.0,175588.465,53.5886,1.9993,0.0
2025-07-31,57.16,173418126.0,154007.0072,47.0021,1.9993,0.0
2025-08-31,51.08,80254465.0,137625.576,42.0025,1.9993,0.0
2025-09-30,54.05,167927552.0,145627.6896,37.7972,1.6431,0.0
2025-10-31,57.95,207775177.0,156135.5155,40.5245,1.7617,0.0
2025-11-30,50.94,99652769.0,137248.372,35.6224,1.5486,0.0
2025-12-31,52.9,195130198.0,142529.2281,35.5034,1.5334,0.0
2026-01-31,55.09,1250547418.0,148429.7765,36.9732,1.5334,0.0
2026-02-28,59.98,877075369.0,161604.9736,40.255,1.5334,0.0
2026-03-31,54.6,48670088.0,147109.5584,36.6443,1.5334,0.0
