IIB IN Equity,price,volume,mc,pe,bm,div
2014-12-31,802.45,18181345.0,424101.6329,24.944,4.0856,3.5
2015-01-31,870.2,22765803.0,460416.2659,27.05,4.4306,3.5
2015-02-28,916.55,16940906.0,485058.4102,28.4908,4.6666,3.5
2015-03-31,886.0,20364952.0,469092.873,26.0665,4.4069,3.5
2015-04-30,823.8,28387969.0,436229.5533,24.2365,4.0975,3.5
2015-05-31,873.95,21159840.0,462998.3762,25.712,4.347,3.5
2015-06-30,872.7,23858273.0,463572.7643,24.3227,4.1446,3.5
2015-07-31,977.7,25793472.0,569766.1324,27.2492,4.6432,3.5
2015-08-31,858.05,20471319.0,507657.8144,23.9144,4.075,4.0
2015-09-30,942.45,33328780.0,557757.257,25.2939,3.3279,4.0
2015-10-31,911.9,25115754.0,540059.5284,24.474,3.22,4.0
2015-11-30,935.25,17426699.0,554502.9549,25.1006,3.3025,4.0
2015-12-31,968.95,21460151.0,575209.4438,25.1023,3.3133,4.0
2016-01-31,928.8,30912616.0,552280.6705,24.0622,3.176,4.0
2016-02-29,830.0,39016145.0,493786.7267,21.5026,2.8382,4.0
2016-03-31,967.6,39956221.0,575708.7711,24.3912,3.2531,4.0
2016-04-30,1048.85,31084921.0,624075.3525,26.4394,3.5263,4.0
2016-05-31,1102.85,26622102.0,656243.1381,27.8006,3.7078,4.0
2016-06-30,1111.6,23123717.0,662321.1868,27.1918,3.6034,4.5
2016-07-31,1175.65,32323390.0,700483.9,28.7586,3.811,4.5
2016-08-31,1186.2,21900535.0,706769.8366,29.0166,3.8452,4.5
2016-09-30,1195.95,24025509.0,712579.149,27.7161,3.7348,4.5
2016-10-31,1195.0,18231384.0,712013.1506,27.6941,3.7318,4.5
2016-11-30,1086.65,34294190.0,647455.3056,25.1831,3.3934,4.5
2016-12-31,1107.9,25542348.0,661871.0502,24.1267,3.3289,4.5
2017-01-31,1252.05,33555477.0,748353.3944,27.2659,3.762,4.5
2017-02-28,1312.6,25795258.0,785018.2796,28.5845,3.9439,4.5
2017-03-31,1425.15,32658776.0,852451.5936,29.6536,4.1286,4.5
2017-04-30,1444.95,22880683.0,864393.8524,30.0655,4.1859,4.5
2017-05-31,1480.7,22473173.0,885964.2468,30.8094,4.2895,4.5
2017-06-30,1478.95,16444488.0,885177.2111,29.0389,4.1169,4.5
2017-07-31,1645.75,23322728.0,985066.455,32.314,4.5812,6.0
2017-08-31,1656.75,18791502.0,991869.3473,32.5299,4.6119,6.0
2017-09-30,1682.2,28899071.0,1007312.736,31.256,4.5851,6.0
2017-10-31,1627.15,31134479.0,974348.4239,30.2332,4.4351,6.0
2017-11-30,1661.95,29398072.0,996046.9672,30.8798,4.5299,6.0
