NACL IN Equity,price,volume,mc,pe,bm,div
2016-06-30,43.0,22231412.0,110821.2566,14.0984,0.8399,1.75
2016-07-31,46.6,37288798.0,120099.3153,15.2787,0.9102,1.75
2016-08-31,47.1,16759921.0,121387.9345,15.4426,0.92,1.75
2016-09-30,45.75,20077704.0,117908.6625,15.0,0.8936,2.0
2016-10-31,54.65,31764582.0,105634.5607,17.918,1.0674,2.0
2016-11-30,57.1,44280008.0,110370.2364,18.7213,1.1153,2.0
2016-12-31,65.3,105175224.0,126220.2608,21.4098,1.2754,2.0
2017-01-31,75.05,57850891.0,145066.3181,24.6066,1.4659,2.0
2017-02-28,68.95,45379121.0,133275.4515,22.6066,1.3467,2.0
2017-03-31,76.5,57756533.0,147869.0651,25.7576,1.449,3.55
2017-04-30,68.8,85193327.0,132985.5121,23.165,1.3031,3.55
2017-05-31,67.55,59997912.0,130569.3509,22.7441,1.2794,3.55
2017-06-30,64.75,32461045.0,125157.1498,21.8013,1.2264,3.55
2017-07-31,69.85,84018662.0,135015.0875,23.5185,1.323,3.55
2017-08-31,72.25,74783125.0,139654.117,24.3266,1.3685,3.55
2017-09-30,78.15,164497934.0,151058.3978,26.3131,1.4802,2.8
2017-10-31,95.7,196794571.0,184981.301,32.2222,1.8126,2.8
2017-11-30,81.85,180250961.0,158210.231,27.5589,1.5503,2.8
2017-12-31,86.0,149185320.0,166231.8859,28.9562,1.6289,2.8
2018-01-31,75.3,197157639.0,145549.5466,25.3535,1.4262,2.8
2018-02-28,68.55,160141879.0,132502.275,23.0808,1.2984,4.7
2018-03-31,66.45,177349441.0,128443.1243,9.5749,1.2228,4.7
2018-04-30,80.55,383054698.0,155697.4216,11.6066,1.4823,4.7
2018-05-31,70.45,177969076.0,136174.8399,10.1513,1.2964,4.7
2018-06-30,64.7,202476072.0,125060.4988,9.3228,1.1906,4.7
2018-07-31,61.55,251829536.0,118971.7728,8.8689,1.1326,4.7
2018-08-31,74.85,286631284.0,144679.727,10.7853,1.3774,5.7
2018-09-30,60.6,223163506.0,117135.4904,8.732,1.1152,5.7
2018-10-31,68.2,267827316.0,131825.7499,9.8271,1.255,5.7
2018-11-30,67.45,129244796.0,130376.0532,9.719,1.2412,5.7
2018-12-31,65.8,127035004.0,127186.7206,9.4813,1.2108,5.7
2019-01-31,59.6,94332060.0,115202.5615,8.5879,1.0968,5.7
2019-02-28,50.55,433663645.0,94306.9645,7.2839,0.9302,5.7
2019-03-31,55.45,370851742.0,103448.4903,6.1136,0.9866,5.5
2019-04-30,51.8,181319797.0,96638.9864,5.7111,0.9217,5.5
2019-05-31,50.55,157487967.0,94306.9645,5.5733,0.8995,5.5
2019-06-30,49.4,139445128.0,92161.5044,5.4465,0.879,5.5
2019-07-31,45.55,166237670.0,84978.877,5.0221,0.8105,5.5
2019-08-31,41.65,140527288.0,77702.9688,4.5921,0.7411,5.5
2019-09-30,46.45,183485926.0,86657.9328,5.1213,0.8265,5.75
2019-10-31,45.4,295945866.0,84699.0344,5.0055,0.8078,5.75
2019-11-30,44.4,157836386.0,82833.4169,4.8953,0.79,5.75
2019-12-31,43.65,176313973.0,81434.2038,4.8126,0.7767,5.75
2020-01-31,42.55,241198366.0,79382.0245,4.6913,0.7571,5.75
2020-02-29,33.5,204090670.0,62498.1862,3.6935,0.5961,2.75
2020-03-31,29.1,229235527.0,54289.4692,39.863,0.5436,2.75
2020-04-30,31.8,246124491.0,59326.6364,43.5616,0.5941,2.75
2020-05-31,29.4,186972849.0,54849.1544,40.274,0.5492,2.75
2020-06-30,31.85,467823344.0,59419.9173,43.6301,0.595,2.75
2020-07-31,32.75,394778261.0,61098.9731,44.863,0.6118,2.75
2020-08-31,35.85,335396301.0,66882.3873,49.1096,0.6697,2.75
2020-09-30,32.25,294025393.0,60166.1643,44.1781,0.6025,1.5
2020-10-31,30.35,258025794.0,56621.4935,41.5753,0.567,1.5
2020-11-30,39.2,301472575.0,73132.2091,53.6986,0.7323,1.5
2020-12-31,43.1,559547844.0,80408.1176,59.0411,0.8052,0.5
2021-01-31,47.9,625848963.0,89363.082,65.6164,0.8948,0.5
2021-02-28,60.0,661403538.0,111937.0547,82.1918,1.1209,0.5
2021-03-31,54.05,534523096.0,99269.9507,7.7547,0.9296,2.5
2021-04-30,64.65,661335558.0,118738.2482,9.2755,1.1119,2.5
2021-05-31,73.8,1137224206.0,135543.4295,10.5882,1.2693,2.5
2021-06-30,78.35,839030735.0,143900.1044,11.241,1.3475,2.5
2021-07-31,93.5,943748375.0,171725.0721,13.4146,1.6081,2.5
2021-08-31,90.75,953963637.0,166674.3347,13.0201,1.5608,2.5
2021-09-30,93.4,821340336.0,171541.4089,13.4003,1.6063,3.0
2021-10-31,96.9,1019573018.0,177969.6202,13.9024,1.6665,3.0
2021-11-30,88.35,611674677.0,162266.4184,12.6758,1.5195,6.0
2021-12-31,101.0,615557671.0,185499.8105,14.4907,1.7371,6.0
2022-01-31,108.85,505835520.0,199917.37,15.6169,1.8721,6.0
2022-02-28,121.3,597754959.0,222783.4358,17.4032,2.0862,7.5
2022-03-31,121.8,696719556.0,223701.7517,7.5793,1.7821,7.5
2022-04-30,105.05,344567796.0,192938.1692,6.537,1.5371,7.5
2022-05-31,96.2,388377944.0,176683.9779,5.9863,1.4076,7.5
2022-06-30,68.8,385636539.0,126360.2669,4.2813,1.0067,7.5
2022-07-31,77.8,385919054.0,142889.953,4.8413,1.1383,7.5
2022-08-31,80.5,286192271.0,147848.8589,5.0093,1.1779,7.5
2022-09-30,71.3,330562500.0,130951.8464,4.4368,1.0432,6.5
2022-10-31,70.2,236054462.0,128931.5514,4.3684,1.0271,6.5
2022-11-30,77.0,276232356.0,141420.6476,4.7915,1.1266,4.5
2022-12-31,80.4,307502100.0,147665.1957,5.0031,1.1764,4.5
2023-01-31,83.35,342783392.0,153083.2594,5.1867,1.2196,5.5
2023-02-28,78.25,207071628.0,143716.4373,4.8693,1.1449,2.5
