MUTH IN Equity,price,volume,mc,pe,bm,div
2020-03-31,613.15,56660595.0,245896.0364,7.8408,2.0787,15.0
2020-04-30,862.7,53367298.0,345974.9011,11.0319,2.9248,15.0
2020-05-31,862.65,35401797.0,345954.8493,11.0313,2.9246,15.0
2020-06-30,1086.05,88518381.0,435546.5879,12.6875,3.4597,15.0
2020-07-31,1273.8,80869348.0,510893.8392,14.8808,4.0578,15.0
2020-08-31,1146.75,81968998.0,459936.8112,13.3966,3.6531,15.0
2020-09-30,1132.1,46284687.0,454061.0106,13.1288,3.3644,15.0
2020-10-31,1230.8,38720702.0,493762.7647,14.2734,3.6577,15.0
2020-11-30,1152.0,73403384.0,462150.394,13.3596,3.4235,15.0
2020-12-31,1210.55,38870407.0,485639.0273,13.4207,3.3508,15.0
2021-01-31,1105.85,36609784.0,443654.9784,12.26,3.061,15.0
2021-02-28,1299.7,53342713.0,521425.4876,14.4091,3.5975,15.0
2021-03-31,1205.9,24738789.0,483802.0755,12.7017,3.1063,15.0
2021-04-30,1157.4,21280505.0,464344.0768,12.1909,2.9813,20.0
2021-05-31,1311.6,21443575.0,526208.4769,13.815,3.3785,20.0
2021-06-30,1481.65,53039568.0,594431.8312,15.1143,3.7796,20.0
2021-07-31,1554.75,22353234.0,623759.2571,15.8599,3.9661,20.0
2021-08-31,1514.0,22383493.0,607410.526,15.4443,3.8621,20.0
2021-09-30,1450.3,14137157.0,581854.35,14.5146,3.4792,20.0
2021-10-31,1467.75,20099863.0,588855.2176,14.6893,3.521,20.0
2021-11-30,1426.2,28771791.0,572364.8174,14.2734,3.4213,20.0
2021-12-31,1495.65,13758985.0,600270.9627,14.8555,3.3775,20.0
2022-01-31,1457.6,12461713.0,584999.803,14.4776,3.2916,20.0
2022-02-28,1358.75,21658455.0,545326.8951,13.4957,3.0683,20.0
2022-03-31,1330.95,22764535.0,534169.5168,13.2949,2.8435,20.0
2022-04-30,1262.95,10277648.0,506879.0037,12.6156,2.6982,20.0
2022-05-31,1143.1,16039544.0,458777.7736,11.4184,2.4422,20.0
2022-06-30,976.3,16372720.0,391833.3832,10.1539,2.0842,20.0
2022-07-31,1065.65,17339781.0,427708.6137,11.0832,2.2749,20.0
2022-08-31,1055.1,33206287.0,423474.2723,10.9735,2.2524,20.0
2022-09-30,1040.05,22002587.0,417433.8138,11.1366,2.1159,20.0
2022-10-31,1043.45,12072002.0,418878.6561,11.173,2.1228,20.0
2022-11-30,1080.75,19781865.0,433852.2283,11.5724,2.1987,20.0
2022-12-31,1063.05,13395325.0,426746.8066,11.7347,2.0648,20.0
2023-01-31,1044.1,9889440.0,419151.1218,11.5256,2.028,20.0
2023-02-28,972.6,9029028.0,390447.6401,10.7363,1.8891,20.0
2023-03-31,979.95,11059914.0,393399.194,10.8895,1.8158,20.0
2023-04-30,1020.7,12949371.0,409758.2094,11.3424,1.8913,22.0
2023-05-31,1115.5,17832850.0,447815.5017,12.3958,2.0669,22.0
2023-06-30,1239.65,9603382.0,497655.2996,13.0435,2.2795,22.0
2023-07-31,1350.4,9063522.0,542116.5824,14.2088,2.4832,22.0
2023-08-31,1260.35,12774673.0,505966.1098,13.2613,2.3176,22.0
2023-09-30,1252.0,7180920.0,502614.0115,12.6197,2.1965,22.0
2023-10-31,1298.7,11783592.0,521373.5578,13.0904,2.2785,22.0
2023-11-30,1481.9,12490247.0,594920.671,14.937,2.5999,22.0
2023-12-31,1476.3,8599853.0,592672.5059,14.2514,2.4677,22.0
2024-01-31,1394.95,8110283.0,560015.1986,13.4661,2.3317,22.0
2024-02-29,1303.75,11941763.0,523402.14,12.5857,2.1793,22.0
2024-03-31,1480.45,23101582.0,594339.941,13.7448,2.3672,22.0
2024-04-30,1720.65,14583488.0,690775.0328,15.9748,2.7513,22.0
2024-05-31,1683.45,14165811.0,675840.6585,15.6295,2.6918,24.0
2024-06-30,1795.85,12647892.0,720968.9287,16.1439,2.8543,24.0
2024-07-31,1838.1,13288051.0,737930.778,16.5237,2.9215,24.0
2024-08-31,1965.85,13009305.0,789217.7901,17.6722,3.1245,24.0
2024-09-30,2031.85,13087085.0,815714.4069,17.4378,3.0648,24.0
2024-10-31,1930.45,10961995.0,775005.9684,16.5675,2.9119,24.0
2024-11-30,1917.05,11876472.0,769626.3522,16.4525,2.8916,24.0
2024-12-31,2136.15,10966043.0,857587.0908,17.2782,3.067,24.0
2025-01-31,2258.8,10970553.0,906826.637,18.2702,3.2431,24.0
2025-02-28,2132.8,15907941.0,856242.1867,17.2511,3.0622,24.0
2025-03-31,2382.9,13771785.0,956648.3059,18.0423,3.2576,24.0
2025-04-30,2169.9,25368636.0,871136.4971,16.4296,2.9664,26.0
2025-05-31,2215.4,24956389.0,889403.1041,16.7741,3.0286,26.0
2025-06-30,2623.9,18006500.0,1053401.104,17.1158,3.4703,26.0
2025-07-31,2612.3,8530086.0,1048756.1,17.0401,3.455,26.0
2025-08-31,2637.8,17237782.0,1058993.546,17.2065,3.4887,26.0
2025-09-30,3077.1,12257752.0,1235358.648,16.9143,3.7642,26.0
2025-10-31,3178.7,11982069.0,1276147.845,17.4728,3.8885,26.0
2025-11-30,3744.2,13524002.0,1503178.268,20.5812,4.5803,26.0
2025-12-31,3811.7,9260767.0,1530277.39,17.5525,4.2957,26.0
2026-01-31,3829.6,11271718.0,1537463.676,17.6349,4.3159,26.0
2026-02-28,3353.5,25037879.0,1346324.534,15.4425,3.7793,26.0
2026-03-31,3304.6,3055873.0,1326692.765,15.2174,3.7242,26.0
