HDFCLIFE IN Equity,price,volume,mc,pe,bm,div
2020-03-31,441.35,168645834.0,890996.4973,68.7461,13.0901,1.63
2020-04-30,501.05,92483402.0,1011518.738,78.0452,14.8608,1.63
2020-05-31,523.2,102883481.0,1056431.314,81.4953,15.5178,0.0
2020-06-30,549.0,182186433.0,1108525.99,83.945,15.933,0.0
2020-07-31,627.1,121824248.0,1266223.403,95.8869,15.933,0.0
2020-08-31,574.8,53191025.0,1160714.728,87.8899,15.933,0.0
2020-09-30,559.4,62113916.0,1129616.943,84.3741,14.4307,0.0
2020-10-31,589.75,109829443.0,1190976.973,88.9517,15.2136,0.0
2020-11-30,646.8,86175073.0,1306491.154,97.5566,16.6853,0.0
2020-12-31,676.5,155564862.0,1366838.521,101.1211,17.4308,0.0
2021-01-31,677.95,63740106.0,1369768.182,101.3378,17.4308,0.0
2021-02-28,700.65,99169258.0,1415790.181,104.7309,17.4308,0.0
2021-03-31,696.2,55940496.0,1406981.175,103.4473,16.2849,0.0
2021-04-30,665.1,69926261.0,1344129.818,98.8262,15.5574,0.0
2021-05-31,665.9,59282336.0,1346227.27,98.945,15.5761,0.0
2021-06-30,686.3,212249689.0,1387794.843,117.7187,16.058,2.02
2021-07-31,664.05,75710115.0,1342802.264,113.9022,16.058,2.02
2021-08-31,717.75,62698614.0,1451632.313,123.1132,16.058,2.02
2021-09-30,722.4,102761663.0,1461510.638,129.6948,16.4404,2.02
2021-10-31,680.45,57690707.0,1376640.246,122.1634,15.4857,2.02
2021-11-30,680.8,55028484.0,1378213.13,122.2262,15.4936,2.02
2021-12-31,649.55,44823146.0,1315203.016,115.373,14.5856,2.02
2022-01-31,622.45,42658000.0,1314498.161,110.5595,14.5856,2.02
2022-02-28,523.2,84303441.0,1105271.874,92.9307,14.5856,2.02
2022-03-31,538.2,160314516.0,1137011.633,82.4196,7.2823,2.02
2022-04-30,582.4,116633402.0,1230389.399,89.1884,7.8804,2.02
2022-05-31,598.95,83163489.0,1265625.417,91.7228,8.1043,1.7
2022-06-30,550.0,64569993.0,1162244.921,79.5948,7.3236,1.7
2022-07-31,555.5,98994835.0,1173867.37,80.3907,7.3236,1.7
2022-08-31,575.2,89944456.0,1215547.11,83.2417,7.3236,1.7
2022-09-30,530.45,132083591.0,1139966.093,74.7113,9.2326,1.7
2022-10-31,540.45,49576392.0,1161483.56,76.1197,9.4066,1.7
2022-11-30,590.6,77993001.0,1269261.153,83.1831,10.2795,1.7
2022-12-31,566.25,57450178.0,1216970.347,78.428,9.9384,1.7
2023-01-31,578.85,81226946.0,1244049.952,80.1731,9.9384,1.7
2023-02-28,488.8,134904577.0,1050601.483,67.7008,9.9384,1.7
2023-03-31,499.2,91061106.0,1072978.549,77.5155,8.258,1.7
2023-04-30,529.75,83438516.0,1138642.601,82.2593,8.7634,1.7
2023-05-31,592.35,94120432.0,1273341.76,91.9798,9.799,1.7
2023-06-30,651.2,163146436.0,1399871.262,97.6312,10.7849,1.9
2023-07-31,646.85,91651547.0,1390520.156,96.979,10.7849,1.9
2023-08-31,644.75,56711915.0,1386189.285,96.6642,10.7849,1.9
2023-09-30,637.4,58371347.0,1370451.005,92.6453,10.0263,1.9
2023-10-31,618.35,62353521.0,1329492.28,89.8765,9.7266,1.9
2023-11-30,690.75,49282590.0,1485156.937,100.3997,10.8655,1.9
2023-12-31,646.7,78466211.0,1390831.574,90.9564,9.8078,1.9
2024-01-31,576.6,102736105.0,1240175.072,81.097,8.7447,1.9
2024-02-29,582.0,99676462.0,1251789.615,81.8565,8.8266,1.9
2024-03-31,633.35,100254230.0,1362248.491,86.5232,9.2886,1.9
2024-04-30,583.65,111230118.0,1255398.54,79.7336,8.5597,1.9
2024-05-31,549.85,139206038.0,1182696.628,75.1161,8.064,1.9
2024-06-30,595.05,125053455.0,1279940.26,78.1932,8.7005,2.0
2024-07-31,715.5,132896460.0,1539025.723,94.021,8.7005,2.0
2024-08-31,738.7,99265712.0,1589303.377,97.0696,8.7005,2.0
2024-09-30,718.0,72977987.0,1545294.827,91.2325,9.903,2.0
2024-10-31,720.15,69955279.0,1549922.102,91.5057,9.9327,2.0
2024-11-30,657.75,63378616.0,1415834.366,83.5769,9.072,2.0
2024-12-31,617.05,84040707.0,1328386.975,75.9914,8.4039,2.0
2025-01-31,638.05,81870712.0,1373595.834,78.5776,8.6899,2.0
2025-02-28,608.5,62765273.0,1309980.511,74.9384,8.2875,2.0
2025-03-31,685.7,54407714.0,1476304.0,81.4371,9.1386,2.0
2025-04-30,743.7,68174192.0,1601177.315,88.3254,9.9116,2.0
2025-05-31,776.85,56096912.0,1673008.055,92.2625,10.3534,2.0
2025-06-30,814.3,67899986.0,1754567.183,93.1693,10.2948,2.1
2025-07-31,755.5,63369082.0,1627871.186,86.4416,9.5514,2.1
2025-08-31,772.05,43025167.0,1664113.306,88.3352,9.7606,2.1
2025-09-30,756.45,64729858.0,1630971.51,85.9682,9.6106,2.1
2025-10-31,731.85,67720923.0,1577931.786,83.1725,9.2981,2.1
2025-11-30,764.3,46084830.0,1648477.371,86.8603,9.7104,2.1
2025-12-31,749.85,63693376.0,1617888.245,85.4123,9.1922,2.1
2026-01-31,731.0,59675321.0,1577217.186,83.2651,8.9612,2.1
2026-02-28,715.3,59971562.0,1543342.618,81.4768,8.7687,2.1
2026-03-31,681.6,15580371.0,1470630.911,77.6382,8.3556,2.1
