TATACONS IN Equity,price,volume,mc,pe,bm,div
2010-09-30,118.72,37281688.0,74331.6829,33.8687,1.8871,1.9754
2010-10-31,123.12,40287102.0,77083.563,35.1226,1.9569,1.9754
2010-11-30,111.56,29832115.0,69848.2828,31.8259,1.7733,1.9754
2010-12-31,106.77,23061148.0,66849.0426,33.5923,1.6838,1.9754
2011-01-31,98.23,28317314.0,61499.8824,30.9043,1.6838,1.9754
2011-02-28,88.15,18822042.0,55192.2022,27.7346,1.6838,1.9754
2011-03-31,96.55,53254301.0,60448.6024,23.7835,1.6838,1.9754
2011-04-30,99.51,26202803.0,62303.8025,24.5134,1.6838,1.9754
2011-05-31,86.33,17703300.0,54048.1621,21.2652,1.6838,1.9754
2011-06-30,95.36,41365763.0,59706.5224,16.1725,1.6838,1.9754
2011-07-31,105.24,46552722.0,65890.5226,17.8476,1.6838,1.9754
2011-08-31,92.4,64010822.0,57851.3223,15.67,1.6838,1.9754
2011-09-30,84.75,28696121.0,53058.7221,13.4483,1.2041,1.9754
2011-10-31,91.46,25597505.0,57263.8423,14.5141,1.2995,1.9754
2011-11-30,82.92,21674307.0,51914.682,13.1583,1.1781,1.9754
2011-12-31,88.99,16275741.0,55717.8422,14.393,1.2645,1.9754
2012-01-31,106.43,62546809.0,66632.6026,17.2125,1.2645,1.9754
2012-02-29,124.01,131072533.0,77640.1231,20.0559,1.2645,1.9754
2012-03-31,110.97,53330651.0,69477.085,19.5052,1.5217,1.9754
2012-04-30,115.46,46640193.0,72290.7987,20.2951,1.5833,1.9754
2012-05-31,106.28,34913183.0,66539.6916,18.6806,1.4574,1.9754
2012-06-30,114.53,36801805.0,71703.3201,26.233,1.5678,1.9754
2012-07-31,125.44,47779044.0,78536.6248,28.733,1.5678,1.9754
2012-08-31,128.21,52111467.0,80268.141,29.3665,1.5678,2.1236
2012-09-30,141.1,45153623.0,88338.243,28.0098,1.7882,2.1236
2012-10-31,148.31,95213776.0,92852.5529,29.4412,1.8796,2.1236
2012-11-30,163.91,100169332.0,102623.2511,32.5392,2.0774,2.1236
2012-12-31,157.99,62911318.0,98912.8594,29.8414,2.0085,2.1236
2013-01-31,147.52,75417287.0,92357.834,27.8638,2.0085,2.1236
2013-02-28,123.66,74173105.0,77423.5073,23.3582,2.0085,2.1236
2013-03-31,126.28,55666402.0,79062.2636,21.2023,1.6437,2.1236
2013-04-30,145.44,48227999.0,91059.1969,24.4196,1.8931,2.1236
2013-05-31,144.11,68112432.0,90224.3587,24.1957,1.8757,2.1236
2013-06-30,132.75,51687880.0,83112.7664,20.4255,1.6623,2.1236
2013-07-31,157.74,73688584.0,98758.25,24.2705,1.6623,2.1236
2013-08-31,137.29,51513035.0,85957.3998,21.1246,1.6623,2.1236
2013-09-30,142.08,31083213.0,88956.6328,19.0026,1.4947,2.1236
2013-10-31,161.99,57803722.0,101417.3638,21.6645,1.7041,2.1236
2013-11-30,147.07,71562767.0,92079.5455,19.6697,1.5472,2.1236
2013-12-31,158.48,63127348.0,99222.0489,19.5671,1.6604,2.1236
2014-01-31,139.27,59890949.0,87194.1969,17.1951,1.6604,2.1236
2014-02-28,137.98,34906454.0,86390.2788,17.0366,1.6604,2.1236
2014-03-31,148.21,52772043.0,92790.7039,19.3115,1.5865,2.1236
2014-04-30,147.62,50503082.0,92419.6647,19.2342,1.5801,2.1236
2014-05-31,147.27,64084550.0,92203.2252,19.1892,1.5764,2.1236
2014-06-30,170.63,141542485.0,106828.3512,22.9416,1.809,2.1236
2014-07-31,151.62,83367797.0,94924.1789,20.3851,1.809,2.1236
2014-08-31,148.65,38417590.0,93068.9832,19.9867,1.809,2.2224
2014-09-30,157.39,84712016.0,98541.8105,28.3037,1.6375,2.2224
2014-10-31,158.13,46978043.0,99005.6094,28.4369,1.6452,2.2224
2014-11-30,159.32,54645527.0,99747.6877,28.6501,1.6576,2.2224
2014-12-31,149.1,51552769.0,93347.2626,29.832,1.5317,2.2224
2015-01-31,156.75,48842924.0,98139.8514,31.3636,1.5317,2.2224
2015-02-28,153.0,42665641.0,95790.0031,30.6126,1.5317,2.2224
2015-03-31,146.97,42764333.0,92017.7057,37.2,1.6752,2.2224
2015-04-30,140.36,49644150.0,87874.4353,35.525,1.5998,2.2224
2015-05-31,144.45,41804443.0,90440.7893,36.5625,1.6465,2.2224
2015-06-30,130.58,42183369.0,81752.2896,36.9274,1.4585,2.2224
2015-07-31,138.48,44954224.0,88413.2998,39.162,1.4585,2.2224
2015-08-31,118.13,52436494.0,75422.4726,33.4078,1.4585,2.2224
2015-09-30,126.23,32620034.0,80593.5786,33.2813,1.3761,2.2224
2015-10-31,131.81,22199211.0,84224.2666,34.7526,1.437,2.2224
2015-11-30,135.86,18715642.0,86811.8986,35.8203,1.4811,2.2224
2015-12-31,144.41,24790237.0,92271.171,43.0,1.5759,2.2224
2016-01-31,124.95,29468204.0,79837.9147,37.2059,1.5759,2.2224
2016-02-29,102.28,43381740.0,65353.4867,30.4559,1.5759,2.2224
2016-03-31,119.76,34122317.0,76524.4835,35.7059,1.2249,2.2224
2016-04-30,118.58,26479685.0,75767.1278,35.7059,1.2128,2.2224
2016-05-31,116.3,23567096.0,74315.5293,35.7059,1.1896,2.2224
2016-06-30,129.59,48461876.0,82804.2246,326.1661,1.3103,2.2224
2016-07-31,140.4,48975318.0,89715.0955,353.3881,1.3103,2.2224
2016-08-31,138.53,53650272.0,88515.9489,348.6646,1.3103,2.2224
2016-09-30,137.89,53173975.0,88105.7146,122.215,1.4522,2.2224
2016-10-31,137.69,82652176.0,87979.4886,122.0399,1.4501,2.2224
2016-11-30,122.33,63455306.0,78165.4209,108.4264,1.2884,2.2224
2016-12-31,120.5,24572987.0,76997.8308,54.4097,1.2597,2.2224
2017-01-31,127.27,24967548.0,81321.0697,57.4646,1.2597,2.2224
2017-02-28,136.36,40981086.0,87127.4635,61.5676,1.2597,2.2224
2017-03-31,148.7,59376127.0,95016.5855,24.4003,1.5165,2.2224
2017-04-30,151.22,34360580.0,96625.9664,24.8136,1.5422,2.2224
2017-05-31,147.57,43260454.0,94290.7863,24.2139,1.5049,2.2224
2017-06-30,148.8,52911922.0,95079.6985,23.1769,1.4959,2.2224
2017-07-31,167.47,113240065.0,107008.0509,26.0846,1.4959,2.2224
2017-08-31,195.57,161512622.0,124963.6926,30.4615,1.4959,2.3211
2017-09-30,203.27,157962362.0,129886.5048,30.3988,1.9528,2.3211
2017-10-31,224.16,91169336.0,143234.8992,33.5229,2.1535,2.3211
2017-11-30,283.58,185107049.0,181197.3472,42.4077,2.7242,2.3211
