BHFC IN Equity,price,volume,mc,pe,bm,div
2003-10-31,58.71,6925597.0,22306.752,,,0.5949
2003-11-30,62.02,5752332.0,23561.083,,,0.5949
2003-12-31,78.74,4593268.0,29913.7235,,,0.5949
2004-01-31,69.58,6374967.0,26435.1208,,,0.5949
2004-02-29,73.84,5255400.0,28052.9441,,,0.5949
2004-03-31,72.73,4372373.0,27631.067,,,0.5949
2004-04-30,76.74,1807842.0,29154.7214,,,0.5949
2004-05-31,67.65,9420050.0,25700.6026,,,0.5949
2004-06-30,60.66,4778610.0,23046.9203,,,0.5949
2004-07-31,68.13,4524887.0,25880.5509,,,0.9915
2004-08-31,73.25,2927660.0,27825.6286,,,0.9915
2004-09-30,81.0,2298360.0,30771.7376,,,0.9915
2004-10-31,87.14,1595230.0,34464.2184,,,0.9915
2004-11-30,89.7,1567250.0,35476.7086,,,0.9915
2004-12-31,107.34,3115170.0,42451.4216,,,0.9915
2005-01-31,135.2,9789850.0,53470.163,,,0.9915
2005-02-28,133.56,11708290.0,52821.5364,,,0.9915
2005-03-31,137.63,15659710.0,54433.2152,26.9185,11.0983,0.9915
2005-04-30,129.65,10520740.0,51277.0933,25.3578,10.4548,0.9915
2005-05-31,137.19,11768810.0,54257.2159,26.8315,11.0624,0.9915
2005-06-30,145.05,24061430.0,62642.6056,28.3698,11.6967,0.9915
2005-07-31,156.07,19327640.0,67403.9523,30.5261,12.5857,1.25
2005-08-31,162.7,22920388.0,70265.0844,31.8219,13.1199,1.25
2005-09-30,175.43,39966116.0,75760.6172,34.3107,14.1461,1.25
2005-10-31,160.95,27468292.0,69509.3136,31.4796,12.9788,1.25
2005-11-30,179.35,18077034.0,77455.703,35.0784,14.4626,1.25
2005-12-31,196.2,25747416.0,84732.6955,38.374,15.8213,1.25
2006-01-31,192.78,27836596.0,85017.1283,37.7041,15.5451,1.25
2006-02-28,208.38,39886468.0,91896.9997,40.7553,16.8031,1.25
2006-03-31,222.68,60611666.0,98203.5484,38.6593,7.8904,1.25
2006-04-30,220.38,29029854.0,97189.3429,38.26,7.8089,1.25
2006-05-31,169.18,41855302.0,75202.3455,29.371,5.9946,1.25
2006-06-30,156.9,53788916.0,69745.8135,27.2399,5.5597,1.25
2006-07-31,150.45,34727514.0,66878.6338,26.1201,5.3311,1.5
2006-08-31,161.9,56301814.0,71968.4335,28.1079,5.7369,1.5
2006-09-30,179.28,31922984.0,79692.0377,31.1245,6.3525,1.5
2006-10-31,179.4,17524482.0,79747.6032,31.1462,6.357,1.5
2006-11-30,181.7,37690278.0,80770.0084,31.5455,6.4385,1.5
2006-12-31,181.48,27086486.0,80811.3968,31.5064,6.4305,1.5
2007-01-31,167.25,27756450.0,74476.9589,29.0368,5.9264,1.5
2007-02-28,164.48,35001454.0,73241.2425,28.555,5.8281,1.5
2007-03-31,157.78,24055094.0,70257.7111,24.2544,4.7478,1.5
2007-04-30,161.85,14047046.0,72072.3216,24.8809,4.8704,1.5
2007-05-31,164.13,35867520.0,73085.3864,25.2306,4.9389,1.5
2007-06-30,154.25,32210164.0,68688.0174,23.7125,4.6417,1.5
2007-07-31,142.9,38921870.0,63633.8262,21.9677,4.3002,1.75
2007-08-31,132.25,21995038.0,58891.3472,20.3305,3.9797,1.75
2007-09-30,142.95,30568238.0,63656.2047,21.9754,4.3017,1.75
2007-10-31,188.35,59408524.0,83873.0057,28.9547,5.6679,1.75
2007-11-30,156.65,25268668.0,69756.8693,24.0815,4.714,1.75
2007-12-31,177.1,26523590.0,78863.3358,27.2252,5.3293,1.75
2008-01-31,141.18,28940700.0,62865.7902,21.7025,4.2483,1.75
2008-02-29,144.88,10821722.0,64513.4149,22.2713,4.3596,1.75
2008-03-31,133.57,17847280.0,59481.4799,19.8772,3.596,1.75
2008-04-30,147.35,8814348.0,65615.5423,21.9271,3.9668,1.75
2008-05-31,128.28,11185670.0,57121.3688,19.0885,3.4533,1.75
2008-06-30,117.55,9649890.0,52345.4835,17.4926,3.1646,1.75
2008-07-31,127.8,8685766.0,56909.8494,19.0179,3.4405,1.75
2008-08-31,133.63,11051892.0,59503.7451,19.8847,3.5973,1.75
2008-09-30,92.28,15748732.0,41090.4253,13.7314,2.4842,1.75
2008-10-31,50.88,18380022.0,22654.8403,7.5707,1.3696,1.75
2008-11-30,43.83,32273188.0,19515.4472,6.5216,1.1798,1.75
2008-12-31,41.93,40985314.0,18669.3696,6.2388,1.1287,1.75
2009-01-31,42.45,36775058.0,18903.1542,6.317,1.1428,1.75
2009-02-28,47.43,12674652.0,21118.5415,7.0573,1.2767,1.75
2009-03-31,48.93,22583204.0,21786.4975,37.3921,1.307,1.75
2009-04-30,62.43,19307810.0,27798.1013,47.7098,1.6677,1.75
2009-05-31,90.03,31131366.0,40088.4913,68.8038,2.405,1.75
2009-06-30,72.08,42049764.0,32095.2848,55.0851,1.9255,1.75
2009-07-31,105.2,33320114.0,46845.9793,80.4017,2.8104,0.5
2009-08-31,110.0,90881866.0,48983.4384,84.0702,2.9386,0.5
2009-09-30,138.43,72397672.0,61641.2042,105.7947,3.698,0.5
2009-10-31,125.13,37781930.0,55718.6612,95.6298,3.3427,0.5
2009-11-30,132.07,35718280.0,58813.5239,100.9415,3.5284,0.5
2009-12-31,136.1,29403462.0,60605.8724,104.0178,3.6359,0.5
2010-01-31,133.6,43061644.0,59492.6125,102.1071,3.5691,0.5
2010-02-28,122.83,22808762.0,54694.462,93.872,3.2812,0.5
2010-03-31,127.18,30863414.0,56631.5344,96.9864,3.8709,0.5
2010-04-30,137.93,26624040.0,61418.5522,,4.1981,0.5
2010-05-31,134.32,25124726.0,62539.9991,,4.0886,0.5
2010-06-30,144.7,25036360.0,67370.4662,,4.4044,0.5
2010-07-31,163.32,44171506.0,76042.0276,,4.9713,0.5
2010-08-31,174.9,25421484.0,81431.1993,,5.3236,0.5
2010-09-30,181.25,22410762.0,84387.678,,5.5169,0.5
2010-10-31,188.58,24739334.0,87798.1041,,5.7398,0.5
2010-11-30,186.8,17510272.0,86971.6869,,5.6858,0.5
2010-12-31,189.55,20993010.0,88252.0516,,5.7695,0.5
2011-01-31,171.28,16171644.0,79743.4457,,5.2132,0.5
2011-02-28,153.07,28925782.0,71269.7589,,4.6593,0.5
2011-03-31,173.65,18929274.0,80849.2153,27.9855,4.1399,0.5
2011-04-30,173.75,7737096.0,80895.774,28.0016,4.1423,0.5
2011-05-31,159.88,14616966.0,74435.7518,25.7655,3.8115,0.5
2011-06-30,153.88,16729936.0,71642.2287,24.7985,3.6684,0.5
2011-07-31,165.1,15658760.0,76868.4449,26.6076,3.936,0.5
2011-08-31,138.98,27881700.0,64704.9796,22.3973,3.3132,1.75
2011-09-30,134.07,12280876.0,62423.6023,21.6076,3.1964,1.75
2011-10-31,149.65,7883660.0,69675.1228,24.1176,3.5677,1.75
2011-11-30,129.7,12130190.0,60386.6584,20.9025,3.0921,1.75
2011-12-31,126.05,22003184.0,58687.2651,20.3143,3.0051,1.75
2012-01-31,145.55,11670076.0,67766.2153,23.4569,3.47,1.75
2012-02-29,154.2,22122446.0,71793.5445,24.8509,3.6762,1.75
2012-03-31,160.03,28872172.0,74505.8145,18.0411,3.4116,2.5
2012-04-30,160.07,13530390.0,74529.0939,18.0468,3.4127,2.5
2012-05-31,156.25,18471672.0,72748.2176,17.6156,3.3311,2.5
2012-06-30,150.03,13588218.0,69849.9286,16.9138,3.1984,2.5
2012-07-31,150.13,13160212.0,69896.4875,16.925,3.2005,3.75
2012-08-31,139.48,9859670.0,64937.9689,15.7244,2.9735,2.0
2012-09-30,152.78,17812386.0,71130.2972,17.2238,3.257,2.0
2012-10-31,135.78,18181402.0,63215.2912,15.3072,2.8946,2.0
2012-11-30,132.73,15937762.0,61795.2459,14.9634,2.8296,2.0
2012-12-31,126.0,22452498.0,58664.1627,14.2052,2.6862,2.0
2013-01-31,114.88,23060016.0,53484.4896,12.951,2.449,2.0
2013-02-28,106.98,15468066.0,49806.3397,12.0603,2.2806,2.0
2013-03-31,103.55,13440564.0,48211.6988,14.0927,2.1367,1.75
2013-04-30,115.43,12300108.0,53740.5633,15.7089,2.3817,1.75
2013-05-31,117.2,14844364.0,54566.983,15.9505,2.4183,1.75
2013-06-30,110.85,11844420.0,51610.4989,15.0862,2.2873,1.75
2013-07-31,101.9,10672186.0,47443.4807,13.8682,2.1026,0.5
2013-08-31,120.48,23379460.0,56091.7894,16.3962,2.4859,2.4
2013-09-30,125.28,39390846.0,58326.6148,17.0494,2.585,2.4
2013-10-31,149.68,28670238.0,69686.9772,20.3702,3.0884,2.4
2013-11-30,149.1,12290562.0,69419.2637,20.2919,3.0766,2.4
2013-12-31,164.03,18582926.0,76368.1739,22.3232,3.3845,2.4
2014-01-31,173.4,31208828.0,80733.0674,23.5991,3.578,2.4
2014-02-28,191.33,35327302.0,89078.7435,26.0386,3.9478,2.2
2014-03-31,210.9,46052490.0,98192.6408,18.6968,3.6595,2.2
2014-04-30,203.9,29347890.0,94933.5204,18.0762,3.538,2.2
2014-05-31,250.83,38234112.0,116781.2666,22.2363,4.3522,2.2
2014-06-30,313.0,43663422.0,145729.2393,27.7482,5.4311,2.2
2014-07-31,361.88,50583696.0,168484.8833,32.0811,6.2792,2.2
2014-08-31,395.85,35184480.0,184303.2568,35.0931,6.8687,2.25
2014-09-30,411.65,51345692.0,191659.5571,36.4938,7.1428,2.25
2014-10-31,406.53,40011580.0,189273.4154,36.0395,7.0539,2.25
2014-11-30,482.5,52148406.0,224646.5111,42.7748,8.3722,2.25
2014-12-31,472.15,33046482.0,219827.6688,41.8573,8.1926,2.25
2015-01-31,517.22,32867250.0,240814.0615,45.8533,8.9747,2.25
2015-02-28,627.17,54206648.0,292005.1614,55.6006,10.8826,2.75
2015-03-31,638.42,36065762.0,297243.4173,38.7747,8.6304,2.75
2015-04-30,627.38,36985906.0,292098.663,38.1036,8.481,2.75
2015-05-31,615.78,79683004.0,286697.8495,37.399,8.3242,2.75
2015-06-30,531.63,51976038.0,247518.5522,32.2882,7.1866,2.75
2015-07-31,573.92,37120292.0,267212.951,34.8573,7.7584,3.75
2015-08-31,583.95,44191088.0,271880.477,35.4661,7.8939,3.75
2015-09-30,453.78,49372248.0,211272.4779,27.56,6.1342,3.75
2015-10-31,429.68,56105266.0,200051.792,26.0963,5.8084,3.75
2015-11-30,425.28,25655008.0,198003.2021,25.829,5.7489,3.75
2015-12-31,446.0,47935828.0,207652.5263,27.0878,6.0291,3.75
2016-01-31,416.78,25956060.0,194045.6988,25.3128,5.634,3.75
2016-02-29,373.2,35093308.0,173757.6745,22.6663,5.045,3.75
2016-03-31,436.55,28221212.0,203252.7138,31.1488,5.9549,5.75
2016-04-30,399.05,32389432.0,185793.1404,28.4731,5.4433,5.75
2016-05-31,377.7,38014038.0,175852.8233,26.9497,5.1521,5.75
2016-06-30,380.13,29906448.0,176981.8757,27.1227,5.1852,5.75
2016-07-31,380.48,26758020.0,177144.8317,27.1477,5.19,0.5
2016-08-31,425.15,73958954.0,197945.0035,30.3354,5.7994,0.5
2016-09-30,455.4,46489740.0,212029.0594,32.4938,6.212,0.5
2016-10-31,442.1,28481820.0,205836.7307,31.5448,6.0306,0.5
2016-11-30,451.75,47247606.0,210329.6609,32.2333,6.1622,0.5
2016-12-31,453.28,43972854.0,211039.6835,32.3421,6.183,0.5
2017-01-31,465.98,28951974.0,216952.6591,33.2483,6.3562,0.5
2017-02-28,526.72,42641912.0,245237.1534,37.5829,7.1849,1.5
2017-03-31,521.05,35272484.0,242594.9525,35.0875,5.8934,1.5
2017-04-30,572.38,28316124.0,266491.2887,38.5438,6.4739,1.5
2017-05-31,584.92,40356722.0,272334.4259,39.3889,6.6159,1.5
2017-06-30,546.33,29668536.0,254362.705,36.7896,6.1793,1.5
2017-07-31,574.35,26667846.0,267410.8262,38.6768,6.4963,3.75
2017-08-31,563.9,35248940.0,262545.4251,37.9731,6.3781,3.75
2017-09-30,588.9,47374969.0,274185.1401,39.6566,6.6609,3.75
2017-10-31,698.2,29883958.0,325073.9766,47.0168,7.8971,3.75
2017-11-30,693.15,27960673.0,322722.754,46.6768,7.84,5.75
2017-12-31,731.5,20845687.0,340578.0777,49.2593,8.2738,5.75
2018-01-31,717.1,23563042.0,333873.6016,48.2896,8.1109,5.75
2018-02-28,789.85,27101978.0,367675.9822,53.1886,8.9337,4.5
2018-03-31,699.65,22784340.0,325687.79,42.7137,7.0028,4.5
2018-04-30,774.7,24245732.0,360623.6417,47.2955,7.754,4.5
2018-05-31,650.7,25901148.0,302909.857,39.7253,6.5128,4.5
2018-06-30,612.7,20845028.0,285220.331,37.4054,6.1325,4.5
2018-07-31,640.65,26332697.0,298231.7632,39.1117,6.4123,5.0
2018-08-31,679.05,33561387.0,316107.5139,41.456,6.7966,5.0
2018-09-30,601.1,27066215.0,279820.671,36.6972,6.0164,5.0
2018-10-31,584.9,27670976.0,272280.0698,35.7082,5.8542,5.0
2018-11-30,563.85,22089796.0,262480.9665,34.4231,5.6436,5.0
2018-12-31,508.7,47849273.0,236809.089,31.0562,5.0916,5.0
2019-01-31,493.0,37250846.0,229500.4539,30.0977,4.9344,5.0
2019-02-28,512.9,31765825.0,238764.2653,31.3126,5.1336,5.0
2019-03-31,512.4,34555617.0,238531.5062,23.1123,4.4376,5.0
2019-04-30,472.25,18028469.0,219840.952,21.3013,4.0899,5.0
2019-05-31,467.35,34749604.0,217559.913,21.0803,4.0474,5.0
2019-06-30,449.9,23421135.0,209436.6211,20.2932,3.8963,5.0
2019-07-31,422.95,34596611.0,196890.9066,19.0776,3.6629,5.0
2019-08-31,384.35,27843224.0,178921.9056,17.3365,3.3286,5.0
2019-09-30,446.35,31128951.0,207784.0316,20.1331,3.8656,5.0
2019-10-31,453.85,28592324.0,211275.4178,20.4714,3.9305,5.0
2019-11-30,464.4,45409251.0,216186.6344,20.9472,4.0219,4.0
2019-12-31,483.15,32702001.0,224915.1,21.793,4.1843,4.0
2020-01-31,490.65,30005390.0,228406.4862,22.1313,4.2492,4.0
2020-02-29,435.4,32371666.0,202686.6077,19.6392,3.7707,4.0
2020-03-31,234.95,49268922.0,109373.5509,31.285,2.0957,6.0
2020-04-30,309.2,71449603.0,143938.293,41.1718,2.758,6.0
2020-05-31,326.05,77493806.0,151782.2782,43.4154,2.9083,6.0
2020-06-30,319.35,81096288.0,148663.3049,42.5233,2.8485,6.0
2020-07-31,381.95,87609845.0,177804.7575,50.8589,3.4069,6.0
2020-08-31,491.2,112201880.0,228662.644,65.4061,4.3814,3.5
2020-09-30,447.55,50310168.0,208342.7653,59.5939,3.992,3.5
2020-10-31,451.3,50757763.0,210120.1456,60.0932,4.0255,3.5
2020-11-30,508.35,64353777.0,236681.9765,67.6897,4.5344,2.0
2020-12-31,525.3,70772006.0,244573.7037,69.9467,4.6856,2.0
2021-01-31,583.8,80916126.0,271810.6381,77.7364,5.2074,2.0
2021-02-28,610.05,64727150.0,284032.3395,81.2317,5.4415,2.0
2021-03-31,595.95,43438243.0,277467.5399,78.6485,5.1239,2.0
2021-04-30,610.4,38917814.0,284195.2955,,5.2482,2.0
2021-05-31,677.85,52743749.0,315599.2481,,5.8281,0.0
2021-06-30,761.9,85426073.0,354731.9719,,6.5508,0.0
2021-07-31,771.65,35842959.0,359217.2826,,6.6346,2.0
2021-08-31,767.2,62307099.0,357145.7257,,6.5963,2.0
2021-09-30,737.45,46596419.0,343296.5529,,6.3406,2.0
2021-10-31,767.15,45393541.0,357122.4498,,6.5959,2.0
2021-11-30,693.65,55348314.0,322906.8465,,5.964,3.0
2021-12-31,697.85,27684898.0,324862.0238,,6.0001,3.0
2022-01-31,735.0,26165987.0,342156.0328,,6.3195,3.0
2022-02-28,678.65,35688894.0,315924.0703,,5.835,3.0
2022-03-31,700.6,38773435.0,326142.1994,30.1593,4.9644,3.0
2022-04-30,701.75,22026130.0,326677.5456,30.2088,4.9725,3.0
2022-05-31,704.9,35402534.0,328193.4267,30.3444,4.9948,3.0
2022-06-30,651.8,30259407.0,303470.6703,28.0585,4.6186,3.0
2022-07-31,733.0,30928738.0,341276.4665,31.554,5.1939,7.0
2022-08-31,740.85,40871332.0,344931.338,31.892,5.2496,7.0
2022-09-30,695.5,36733174.0,323816.8936,29.9397,4.9282,7.0
2022-10-31,834.2,37827108.0,388394.0368,35.9105,5.911,7.0
2022-11-30,859.55,31420368.0,400196.7086,37.0017,6.0906,3.0
2022-12-31,879.85,32015621.0,409648.1579,37.8756,6.2345,3.0
2023-01-31,874.1,17218722.0,406971.0232,37.6281,6.1937,3.0
2023-02-28,816.0,33000056.0,379920.3237,35.127,5.7821,3.0
2023-03-31,770.45,19500804.0,358712.7615,67.8811,5.3495,3.0
2023-04-30,801.35,18595014.0,373099.4503,70.6035,5.5641,3.0
2023-05-31,791.3,29051406.0,368420.2845,69.7181,5.4943,3.0
2023-06-30,836.8,21302955.0,389604.5673,73.7269,5.8102,3.0
2023-07-31,931.45,22733925.0,433672.5313,82.0661,6.4674,7.0
2023-08-31,1070.35,41551511.0,498342.7923,94.304,7.4318,7.0
2023-09-30,1091.6,22537681.0,508236.5507,96.1762,7.5794,7.0
2023-10-31,1019.35,17604578.0,474597.772,89.8106,7.0777,7.0
2023-11-30,1120.25,27477845.0,521575.665,98.7004,7.7783,7.0
2023-12-31,1238.35,20211838.0,576561.6824,109.1057,8.5983,7.0
2024-01-31,1235.25,17483596.0,575118.3577,108.8326,8.5768,5.5
2024-02-29,1151.0,36562486.0,535892.5154,101.4097,7.9918,8.0
2024-03-31,1129.6,23746462.0,525928.9187,55.2912,7.3349,8.0
2024-04-30,1271.2,30171736.0,591856.269,62.2222,8.2544,8.0
2024-05-31,1554.55,46796226.0,723780.8079,76.0915,10.0943,8.0
2024-06-30,1670.35,35460341.0,777695.9715,81.7597,10.8462,8.0
2024-07-31,1733.5,28152096.0,807097.8936,84.8507,11.2563,9.0
2024-08-31,1587.0,27854397.0,738889.159,77.6799,10.305,9.0
2024-09-30,1516.6,24773107.0,706111.7193,74.234,9.8479,9.0
2024-10-31,1410.15,22334996.0,656549.8094,69.0235,9.1567,9.0
2024-11-30,1332.25,17930320.0,620280.455,65.2105,8.6508,9.0
2024-12-31,1299.5,24320082.0,621276.1773,63.6074,8.4382,9.0
2025-01-31,1224.05,22489535.0,585204.39,59.9143,7.9482,9.0
2025-02-28,1016.5,25146018.0,485977.0944,49.7553,6.6005,5.0
2025-03-31,1169.15,27268030.0,558957.3241,58.3117,6.0406,5.0
2025-04-30,1104.2,36122333.0,527905.4675,55.0723,5.705,5.0
2025-05-31,1240.9,36486317.0,593260.1834,61.8903,6.4113,5.0
2025-06-30,1308.1,28092782.0,625387.7395,65.2419,6.7585,5.0
2025-07-31,1169.1,22051531.0,558933.4197,58.3092,6.0403,8.5
2025-08-31,1106.7,20029788.0,529100.689,55.197,5.7179,8.5
2025-09-30,1212.4,33305247.0,579634.6574,60.4688,6.2641,8.5
2025-10-31,1324.7,18358313.0,633324.0108,66.0698,6.8443,8.5
2025-11-30,1433.8,26266936.0,685483.4806,71.5112,7.408,8.5
2025-12-31,1470.4,16314941.0,702981.5245,73.3367,7.5971,8.5
2026-01-31,1441.4,16030809.0,689116.9542,71.8903,7.4472,8.5
2026-02-28,1911.2,48612708.0,913722.9935,95.3217,9.8745,8.0
2026-03-31,1899.7,6576825.0,908224.9509,94.7481,9.8151,8.0
