PCBL IN Equity,price,volume,mc,pe,bm,div
2015-09-30,11.24,11971180.0,3872.4316,36.3592,0.7635,0.1
2015-10-31,13.18,43728470.0,4541.1025,42.6375,0.8954,0.1
2015-11-30,14.0,37933560.0,4823.7366,45.2913,0.9511,0.1
2015-12-31,12.93,42687300.0,4456.657,41.8447,0.8787,0.1
2016-01-31,10.7,20338560.0,3686.3067,34.6117,0.7268,0.1
2016-02-29,8.28,14743650.0,2852.1915,26.7799,0.5624,0.1
2016-03-31,9.55,25678940.0,3289.9297,20.1517,0.3149,0.1
2016-04-30,11.96,44408970.0,4122.3215,25.2504,0.3945,0.1
2016-05-31,11.83,29050630.0,4075.7903,24.9653,0.3901,0.1
2016-06-30,16.21,114524080.0,5587.1933,34.2231,0.5348,0.1
2016-07-31,20.59,107596540.0,7095.1495,43.4597,0.6791,0.25
2016-08-31,24.81,175761200.0,8551.4044,52.3797,0.8185,0.25
2016-09-30,25.12,120669180.0,8656.5305,53.0236,0.8285,0.25
2016-10-31,27.84,71616950.0,9595.7718,58.7767,0.9184,0.25
2016-11-30,22.97,78927560.0,7915.4777,48.4845,0.7576,0.25
2016-12-31,22.24,36105270.0,7663.8645,46.9433,0.7335,0.25
2017-01-31,25.87,70433130.0,8915.0373,54.607,0.8533,0.25
2017-02-28,30.25,70315160.0,10426.4403,63.8648,0.9979,0.25
2017-03-31,32.99,70536930.0,11370.8518,16.4117,1.0056,0.85
2017-04-30,42.43,68893100.0,14622.8671,21.1054,1.2933,0.85
2017-05-31,43.84,65714410.0,15108.8599,21.8069,1.3362,0.85
2017-06-30,61.06,201657460.0,21045.899,30.3759,1.8613,0.85
2017-07-31,58.34,84930210.0,20106.6577,29.0203,1.7782,0.6
2017-08-31,70.82,138505230.0,24408.2106,35.2288,2.1587,0.6
2017-09-30,80.54,147275750.0,27758.4585,40.0642,2.455,0.6
2017-10-31,92.43,143569610.0,31856.6527,45.9792,2.8174,0.6
2017-11-30,94.37,150715370.0,32525.3243,46.9443,2.8766,1.2
2017-12-31,97.53,38183930.0,33616.223,48.5188,2.973,1.2
2018-01-31,120.68,391578710.0,41595.4659,60.0354,3.6787,1.2
2018-02-28,119.97,77019510.0,41350.7461,59.6822,3.6571,1.2
2018-03-31,108.56,57059500.0,37417.9962,81.5015,2.7162,0.6
2018-04-30,130.4,65645770.0,44945.7139,97.8979,3.2627,0.6
2018-05-31,117.33,47392044.0,40439.0788,88.0818,2.9355,0.6
2018-06-30,109.28,51874796.0,37664.4393,82.0383,2.7341,0.6
2018-07-31,127.55,60997048.0,43963.3881,95.7583,3.1914,1.2
2018-08-31,120.9,77633666.0,41671.2945,90.7658,3.025,1.2
2018-09-30,102.5,29301204.0,35329.2613,76.952,2.5646,1.2
2018-10-31,113.28,70639150.0,39043.1422,85.0413,2.8342,1.2
2018-11-30,106.95,27882770.0,36863.0683,80.2928,2.6759,0.6
2018-12-31,103.38,24383788.0,35630.8526,77.6089,2.5865,0.6
2019-01-31,87.55,77583228.0,30176.3593,65.7282,2.1905,2.35
2019-02-28,77.72,37422210.0,26789.9203,58.3521,1.9447,2.35
2019-03-31,88.23,40318952.0,30409.0154,7.9253,1.8431,2.35
2019-04-30,78.28,20879614.0,26979.492,7.0315,1.6352,2.35
2019-05-31,73.83,39199398.0,25445.685,6.6317,1.5423,2.35
2019-06-30,58.13,23356730.0,20034.2762,5.2214,1.2143,2.35
2019-07-31,60.25,40161504.0,20766.7121,5.4123,1.2587,1.75
2019-08-31,55.9,21827922.0,19267.3727,5.0215,1.1678,1.75
2019-09-30,59.38,82303584.0,20465.1209,5.3337,1.2404,1.75
2019-10-31,63.13,29161954.0,21757.6548,5.6705,1.3187,1.75
2019-11-30,62.75,41169626.0,21628.4014,5.6369,1.3109,1.75
2019-12-31,59.23,24494776.0,20413.4195,5.3202,1.2373,1.75
2020-01-31,62.53,76061176.0,21550.8494,5.6166,1.3062,1.75
2020-02-29,53.05,27756786.0,18285.0469,4.7655,1.1083,3.5
2020-03-31,31.35,26399024.0,10805.5838,3.771,0.636,3.5
2020-04-30,39.85,22799152.0,13735.3274,4.7934,0.8084,3.5
2020-05-31,36.17,16091742.0,12468.6442,4.3514,0.7338,3.5
2020-06-30,44.23,87260360.0,15243.2837,5.3197,0.8971,3.5
2020-07-31,48.1,131787362.0,16578.9021,5.7858,0.9757,3.5
2020-08-31,57.88,109153292.0,19948.1073,6.9616,1.174,3.5
2020-09-30,65.88,62901148.0,22705.5131,7.9239,1.3363,3.5
2020-10-31,70.63,70260042.0,24342.7219,8.4952,1.4327,3.5
2020-11-30,83.43,58791300.0,28754.5709,10.0349,1.6923,3.5
2020-12-31,87.05,59979088.0,30004.0204,10.4709,1.7659,3.5
2021-01-31,95.5,99985358.0,32916.5301,11.4873,1.9373,3.5
2021-02-28,98.43,94308288.0,33924.7066,11.8392,1.9966,3.5
2021-03-31,95.4,68070700.0,32882.0625,20.967,1.6989,3.5
2021-04-30,103.73,77061806.0,35751.4878,22.7967,1.8472,3.5
2021-05-31,109.05,89625584.0,37586.886,23.967,1.942,3.5
2021-06-30,114.05,80610570.0,39310.2645,25.0659,2.0311,3.5
2021-07-31,135.75,139314818.0,46789.729,29.8352,2.4175,3.5
2021-08-31,122.0,57859578.0,42050.4378,26.8132,2.1726,3.5
2021-09-30,133.6,63654574.0,46048.6762,29.3626,2.3792,3.5
2021-10-31,109.9,68067466.0,41483.1402,24.1538,1.9572,3.5
2021-11-30,104.58,51011646.0,39473.1518,22.9835,1.8623,3.5
2021-12-31,121.28,65913538.0,45776.7773,26.6538,2.1597,3.5
2022-01-31,118.8,46235744.0,44842.5574,26.1099,2.1156,3.5
2022-02-28,95.98,21673562.0,36226.9734,21.0934,1.7092,5.0
2022-03-31,114.35,35542342.0,43162.8488,19.3649,1.6512,5.0
2022-04-30,110.8,35778108.0,41822.8565,18.7638,1.6,5.0
2022-05-31,105.55,25759830.0,39841.1779,17.8747,1.5242,5.0
2022-06-30,104.75,11274493.0,39539.2078,17.7392,1.5126,5.0
2022-07-31,122.15,39905016.0,46107.0571,20.6859,1.7639,5.0
2022-08-31,137.5,40571609.0,51901.1081,23.2854,1.9855,5.0
2022-09-30,128.45,55936743.0,48485.0715,21.7528,1.8548,5.0
2022-10-31,127.15,21971651.0,47994.3701,21.5326,1.8361,5.0
2022-11-30,142.1,27842214.0,53637.436,24.0644,2.0519,5.0
2022-12-31,129.65,43166457.0,48938.0266,21.956,1.8722,5.0
2023-01-31,119.9,18442604.0,45257.7662,20.3048,1.7314,5.0
2023-02-28,118.85,24597670.0,44861.4305,20.127,1.7162,5.5
2023-03-31,116.1,14845706.0,43823.4083,9.9231,1.5484,5.5
2023-04-30,128.3,19593127.0,48428.4521,10.9658,1.7111,5.5
2023-05-31,136.5,33534589.0,51523.6454,11.6667,1.8205,5.5
2023-06-30,162.75,68271179.0,61432.0388,13.9103,2.1706,5.5
2023-07-31,157.85,70024012.0,59582.472,13.4915,2.1053,5.5
2023-08-31,174.35,54947862.0,65810.605,14.9017,2.3253,5.5
2023-09-30,168.75,43782225.0,63696.8144,14.4231,2.2506,5.5
2023-10-31,199.5,129401803.0,75303.7895,17.0513,2.6608,5.5
2023-11-30,271.85,132253715.0,102613.2089,23.235,3.6257,5.5
2023-12-31,251.55,62943148.0,94950.718,21.5,3.3549,5.5
2024-01-31,318.65,146427480.0,120278.4588,27.235,4.2499,5.5
2024-02-29,286.05,69418835.0,107973.1779,24.4487,3.8151,5.5
2024-03-31,267.7,69509628.0,101046.7391,20.5923,3.1123,5.5
2024-04-30,270.65,39128755.0,102160.2538,20.8192,3.1466,5.5
2024-05-31,234.75,35329044.0,88609.3463,18.0577,2.7292,5.5
2024-06-30,256.21,51839734.0,96709.6938,19.7085,2.9787,5.5
2024-07-31,325.25,137551175.0,122769.712,25.0192,3.7814,5.5
2024-08-31,488.9,292660518.0,184541.4671,37.6077,5.684,5.5
2024-09-30,577.6,104174181.0,218022.4001,44.4308,6.7152,5.5
2024-10-31,410.95,57088898.0,155118.2571,31.6115,4.7777,5.5
2024-11-30,433.85,40355596.0,163762.1507,33.3731,5.044,5.5
2024-12-31,450.0,53004753.0,169858.1718,34.6154,5.2317,5.5
2025-01-31,379.95,69379218.0,143416.9164,29.2269,4.4173,5.5
2025-02-28,358.0,42634322.0,135131.6122,27.5385,4.1621,5.5
2025-03-31,423.35,37904109.0,159798.7934,36.7811,4.3219,5.5
2025-04-30,359.65,35180851.0,135754.4255,31.2467,3.6716,5.5
2025-05-31,398.6,27896480.0,150456.594,34.6308,4.0692,5.5
2025-06-30,418.9,33393239.0,158119.0848,36.3944,4.2764,5.5
2025-07-31,394.0,42605714.0,148720.266,34.2311,4.0222,5.5
2025-08-31,371.55,13349397.0,140246.2305,32.2806,3.7931,5.5
2025-09-30,373.6,22091085.0,141020.0289,32.4587,3.814,5.5
2025-10-31,362.1,14469283.0,136679.2089,31.4596,3.6966,11.5
2025-11-30,325.15,10948582.0,122731.9657,28.2493,3.3194,11.5
2025-12-31,301.5,21043554.0,118628.9751,26.1946,3.0779,11.5
2026-01-31,266.0,17324562.0,104661.0527,23.1103,2.7155,6.0
2026-02-28,309.4,152986586.0,121737.3297,26.881,3.1586,6.0
2026-03-31,284.5,3804254.0,111940.1108,24.7176,2.9044,6.0
