JKBK IN Equity,price,volume,mc,pe,bm,div
2013-10-31,130.39,20278630.0,63212.6272,,1.1548,5.0
2013-11-30,121.67,10073560.0,58982.939,,1.0775,5.0
2013-12-31,143.64,18554940.0,69633.5152,,1.2016,5.0
2014-01-31,138.62,8627090.0,67199.9265,,1.1596,5.0
2014-02-28,133.35,6281660.0,64645.1493,,1.1155,5.0
2014-03-31,153.8,13175000.0,74558.8599,,1.2866,5.0
2014-04-30,167.51,9717960.0,81202.7457,,1.4012,5.0
2014-05-31,149.81,67342660.0,72622.1747,,1.2532,5.0
2014-06-30,156.21,45352100.0,75724.7541,,1.294,5.0
2014-07-31,159.83,17875410.0,77482.0744,,1.324,5.0
2014-08-31,148.84,28318650.0,72154.3609,,1.2329,5.0
2014-09-30,141.25,27837546.0,68474.8946,,1.1366,5.0
2014-10-31,138.85,7287577.0,67311.4274,,1.1173,5.0
2014-11-30,138.35,16848377.0,67069.0384,,1.1133,5.0
2014-12-31,149.7,23350710.0,72571.2689,,1.2046,5.0
2015-01-31,152.45,10642093.0,73904.4084,,1.2267,5.0
2015-02-28,113.55,54019810.0,55046.5436,,0.9137,5.0
2015-03-31,95.05,24840975.0,46078.1503,,0.7541,5.0
2015-04-30,96.05,14868432.0,46562.9284,,0.7621,5.0
2015-05-31,107.6,18981672.0,52162.1144,,0.8537,5.0
2015-06-30,100.6,15815628.0,48768.6683,,0.7982,5.0
2015-07-31,104.2,7283962.0,50513.8692,,,5.0
2015-08-31,96.35,12352200.0,46708.3618,,,2.1
2015-09-30,90.1,8907499.0,43678.4992,,,2.1
2015-10-31,83.2,5456318.0,40333.5309,,,2.1
2015-11-30,84.95,6778065.0,41181.8924,,,2.1
2015-12-31,82.35,25404208.0,39921.4695,,,2.1
2016-01-31,71.45,12329832.0,34637.3892,,,2.1
2016-02-29,63.35,6663480.0,30710.6873,,,2.1
2016-03-31,60.5,17380753.0,29329.0699,,,2.1
2016-04-30,68.7,55329685.0,33304.2496,,,2.1
2016-05-31,57.3,32076016.0,27777.7803,,,2.1
2016-06-30,68.9,49319546.0,33401.2052,,,2.1
2016-07-31,67.25,32256311.0,32601.3215,,,1.75
2016-08-31,70.35,41164098.0,34104.1334,,,1.75
2016-09-30,77.65,54159226.0,37643.0129,,,1.75
2016-10-31,68.1,69139529.0,33013.3828,,,1.75
2016-11-30,60.8,24526969.0,29474.5033,,,1.75
2016-12-31,59.35,26015181.0,28771.5752,,,1.75
2017-01-31,63.35,13021607.0,30710.6873,,,1.75
2017-02-28,73.8,28643837.0,35776.6175,,,1.75
2017-03-31,75.0,27327820.0,39099.9802,,0.6891,1.75
2017-04-30,81.1,14049261.0,42280.1119,,0.7451,1.75
2017-05-31,81.7,21396273.0,42592.9117,,0.7507,1.75
2017-06-30,85.15,16696297.0,47416.4926,,0.7423,1.75
2017-07-31,83.25,11096402.0,46358.4617,,0.7258,1.75
2017-08-31,79.25,7977488.0,44131.0281,,0.6909,0.0
2017-09-30,73.45,9158010.0,40901.2494,,0.6759,0.0
2017-10-31,82.8,15607523.0,46107.8754,,0.7619,0.0
2017-11-30,73.9,28989284.0,41151.8356,,0.68,0.0
2017-12-31,78.55,9010509.0,43741.2272,,0.7147,0.0
2018-01-31,74.2,11725461.0,41318.8931,,0.6751,0.0
2018-02-28,66.6,10594017.0,37086.7689,,0.606,0.0
2018-03-31,60.35,12625110.0,33606.404,6.3996,0.5457,0.0
2018-04-30,56.95,9623135.0,31713.0854,6.039,0.5149,0.0
2018-05-31,59.05,11355493.0,32882.488,6.2617,0.5339,0.0
2018-06-30,50.6,9835918.0,28177.0346,9.0844,0.4535,0.0
2018-07-31,58.45,12325623.0,32548.373,10.4937,0.5238,0.0
2018-08-31,55.3,6423698.0,30794.2691,9.9282,0.4956,0.0
2018-09-30,41.3,6979445.0,22998.2516,6.9295,0.3647,0.0
2018-10-31,42.2,17077631.0,23499.4241,7.0805,0.3727,0.0
2018-11-30,36.8,11221545.0,20492.3888,6.1745,0.325,0.0
2018-12-31,37.7,10295085.0,20993.5614,6.3255,0.3329,0.0
2019-01-31,41.0,44682077.0,22831.1941,6.8792,0.3621,0.0
2019-02-28,38.5,12866690.0,21439.0481,6.4597,0.34,0.0
2019-03-31,53.7,32151427.0,29903.2957,8.9933,0.4515,0.0
2019-04-30,60.75,26619769.0,33829.1473,,0.5107,0.0
2019-05-31,59.4,26434222.0,33077.3885,,0.4994,0.0
2019-06-30,40.25,45223519.0,22413.5503,,0.3375,0.0
2019-07-31,35.15,9178365.0,19573.5725,,0.2948,0.0
2019-08-31,41.55,44568349.0,23137.4662,,0.3484,0.0
2019-09-30,33.45,23222711.0,18626.9132,,0.3253,0.0
2019-10-31,33.3,15994791.0,18543.3845,,0.3239,0.0
2019-11-30,34.0,19834399.0,18933.1853,,0.3307,0.0
2019-12-31,29.85,15211175.0,16622.223,,0.2566,0.0
2020-01-31,27.3,18945286.0,15202.2341,,0.2347,0.0
2020-02-29,19.75,42371348.0,10997.9532,,0.1698,0.0
2020-03-31,12.45,27564069.0,8882.4642,,0.14,0.0
2020-04-30,14.95,45250707.0,10666.0915,,0.1681,0.0
2020-05-31,11.7,40828309.0,8347.376,,0.1316,0.0
2020-06-30,18.1,193781639.0,12913.462,,0.1581,0.0
2020-07-31,15.8,99437416.0,11272.5248,,0.138,0.0
2020-08-31,17.95,60286493.0,12806.4443,,0.1568,0.0
2020-09-30,14.85,37373192.0,10594.7464,,0.1652,0.0
2020-10-31,14.2,14244649.0,10131.0032,,0.158,0.0
2020-11-30,23.9,177160960.0,17051.4772,,0.2659,0.0
2020-12-31,23.15,96131968.0,16516.389,,0.2549,0.0
2021-01-31,27.35,185923855.0,19512.8829,,0.3012,0.0
2021-02-28,29.0,142987881.0,20690.0769,,0.3194,0.0
2021-03-31,25.65,63150453.0,18300.0163,4.2601,0.269,0.0
2021-04-30,23.75,70215278.0,16944.4595,3.9445,0.2491,0.0
2021-05-31,28.7,118613507.0,20476.0416,4.7667,0.301,0.0
2021-06-30,40.35,362226685.0,28787.7449,5.4593,0.4171,0.0
2021-07-31,38.15,94300831.0,27218.1533,5.1617,0.3944,0.0
2021-08-31,35.3,59203703.0,25184.8181,4.7761,0.3649,0.0
2021-09-30,37.95,86029985.0,27075.4631,4.5358,0.3518,0.0
2021-10-31,40.15,139380283.0,35377.1141,4.7987,0.3722,0.0
2021-11-30,36.75,144019013.0,34283.5823,4.3924,0.3407,0.0
2021-12-31,36.35,63082138.0,33910.4277,3.9311,0.4312,0.0
2022-01-31,41.25,108450530.0,38481.572,4.461,0.4893,0.0
2022-02-28,33.95,65302900.0,31671.4999,3.6715,0.4027,0.0
2022-03-31,32.3,44910903.0,30132.237,5.4305,0.3731,0.0
2022-04-30,30.9,94541635.0,29709.7277,5.1951,0.357,0.0
2022-05-31,29.95,37959709.0,28796.3218,5.0354,0.346,0.0
2022-06-30,25.3,21676867.0,24325.4405,4.0689,0.2953,0.0
2022-07-31,28.9,22815730.0,27786.768,4.6479,0.3373,0.0
2022-08-31,31.75,40834857.0,30526.9856,5.1062,0.3706,0.0
2022-09-30,27.7,67039346.0,26632.9921,3.8445,0.3142,0.0
2022-10-31,39.7,141240905.0,38170.7505,5.51,0.4503,0.0
2022-11-30,45.7,286467183.0,43939.6296,6.3428,0.5184,0.0
2022-12-31,56.7,538104652.0,54515.9081,6.6045,0.6206,0.0
2023-01-31,55.05,186799391.0,52929.4663,6.4123,0.6026,0.0
2023-02-28,49.2,103314963.0,47304.8092,5.7309,0.5385,0.0
2023-03-31,49.05,89511558.0,47160.5872,3.9727,0.5113,0.0
2023-04-30,58.2,91517570.0,55958.1279,4.7138,0.6067,0.0
2023-05-31,57.5,158337101.0,55285.092,4.6571,0.5994,0.0
2023-06-30,60.65,107349809.0,58313.7536,4.3675,0.6117,0.0
2023-07-31,67.15,260864303.0,64563.3727,4.8355,0.6773,0.0
2023-08-31,89.7,240904693.0,86244.7435,6.4594,0.9048,0.5
2023-09-30,105.35,233686005.0,101291.9034,6.9704,1.0242,0.5
2023-10-31,106.6,165581499.0,102493.7532,7.0531,1.0363,0.5
2023-11-30,109.5,73103238.0,112947.0448,7.245,1.0645,0.5
2023-12-31,123.0,204631355.0,135445.4429,7.7001,1.1501,0.5
2024-01-31,134.45,124086457.0,148053.9822,8.4169,1.2572,0.5
2024-02-29,143.15,126091415.0,157634.2696,8.9615,1.3385,0.5
2024-03-31,134.2,96424420.0,147778.6865,7.9931,1.2123,0.5
2024-04-30,136.5,65450797.0,150311.4062,8.1301,1.233,0.5
2024-05-31,131.7,95803806.0,145025.7304,7.8442,1.1897,0.5
2024-06-30,114.38,113250323.0,125953.2501,6.5813,0.993,0.5
2024-07-31,109.56,113637187.0,120645.5506,6.304,0.9511,0.5
2024-08-31,109.89,145746868.0,121008.9409,6.323,0.954,2.15
2024-09-30,107.23,64922469.0,118079.7955,5.7405,0.8311,2.15
2024-10-31,100.43,70438435.0,110591.7548,5.3765,0.7784,2.15
2024-11-30,97.46,61854434.0,107321.2428,5.2175,0.7554,2.15
2024-12-31,100.82,70000570.0,111021.2159,5.189,0.805,2.15
2025-01-31,99.52,85066811.0,109589.6787,5.1221,0.7946,2.15
2025-02-28,94.8,77726599.0,104392.0975,4.8792,0.7569,2.15
2025-03-31,92.3,49159736.0,101639.1413,4.8836,0.7155,2.15
2025-04-30,94.38,142190974.0,103929.6009,4.9937,0.7316,2.15
2025-05-31,103.8,82493199.0,114302.7397,5.4921,0.8046,2.15
2025-06-30,115.85,130597649.0,127571.9883,5.941,0.8777,2.15
2025-07-31,104.12,94624365.0,114655.118,5.3395,0.7888,2.15
2025-08-31,98.92,33124508.0,108928.9692,5.0728,0.7494,2.15
2025-09-30,105.03,45701619.0,115657.1941,5.5366,0.7744,2.15
2025-10-31,106.13,65398180.0,116868.4948,5.5946,0.7825,2.15
2025-11-30,106.98,55431291.0,117804.4999,5.6394,0.7888,2.15
2025-12-31,100.3,45761780.0,110448.601,5.1568,0.7131,2.15
2026-01-31,104.71,78587666.0,115304.8157,5.3835,0.7444,2.15
2026-02-28,121.39,140556963.0,133672.5392,6.2411,0.863,2.15
2026-03-31,121.03,30018573.0,133276.1122,6.2226,0.8605,2.15
