BRIT IN Equity,price,volume,mc,pe,bm,div
2007-03-31,125.45,4847680.0,29969.061,,,1.5
2007-04-30,126.68,886590.0,30262.9104,,,1.5
2007-05-31,153.16,6638230.0,36590.2298,,,1.5
2007-06-30,157.55,1897330.0,37637.8151,,,1.5
2007-07-31,170.78,4656260.0,40799.683,,,1.5
2007-08-31,156.97,3798560.0,37500.4464,,,1.5
2007-09-30,146.22,1789190.0,34930.7626,,,1.5
2007-10-31,154.07,3457670.0,36806.1276,,,1.5
2007-11-30,149.23,5001850.0,35652.2406,,,1.5
2007-12-31,147.35,3109180.0,35200.7196,,,1.5
2008-01-31,144.65,2354160.0,34556.8841,,,1.5
2008-02-29,137.85,1108830.0,32933.5587,,,1.5
2008-03-31,132.35,1057260.0,31618.4142,,,1.5
2008-04-30,135.41,740360.0,32349.4482,,,1.5
2008-05-31,144.72,911390.0,34573.6056,,,1.5
2008-06-30,143.9,11233420.0,34377.7091,,,1.5
2008-07-31,138.13,898380.0,32998.0617,,,1.8
2008-08-31,144.09,289230.0,34423.1001,,,1.8
2008-09-30,135.04,454750.0,32259.8607,,,1.8
2008-10-31,117.32,319960.0,28027.7458,,,1.8
2008-11-30,110.86,378600.0,26484.4533,,,1.8
2008-12-31,132.24,1517120.0,31593.3282,,,1.8
2009-01-31,139.07,1205340.0,33222.6277,,,1.8
2009-02-28,131.51,1211590.0,31417.7382,,,1.8
2009-03-31,140.01,2126330.0,33447.1951,,,1.8
2009-04-30,160.08,4553350.0,38243.1125,,,1.8
2009-05-31,171.44,3470230.0,40957.015,,,1.8
2009-06-30,159.54,1068130.0,38112.9105,,,4.0
2009-07-31,186.88,1651540.0,44644.4364,,,4.0
2009-08-31,166.39,2355330.0,39751.763,,,4.0
2009-09-30,156.52,3627270.0,37391.4325,,,4.0
2009-10-31,166.38,1666200.0,39746.9865,,,4.0
2009-11-30,160.31,714660.0,38298.058,,,4.0
2009-12-31,168.04,522620.0,40144.755,,,4.0
2010-01-31,156.65,3857260.0,37423.684,,,4.0
2010-02-28,167.34,858500.0,39978.718,,,4.0
2010-03-31,159.91,1971580.0,38201.305,,,4.0
2010-04-30,165.49,1904850.0,39534.3655,,,4.0
2010-05-31,170.89,864730.0,40825.62,,,4.0
2010-06-30,185.68,912400.0,44357.7564,,,4.0
2010-07-31,196.83,2125210.0,47023.8803,,,2.5
2010-08-31,204.98,9924330.0,48968.5262,,,2.5
2010-09-30,218.98,13560092.0,52313.1262,,11.3487,2.5
2010-10-31,206.83,2998460.0,49410.4912,,10.719,2.5
2010-11-30,201.23,3402916.0,48072.6513,,10.4288,2.5
2010-12-31,206.75,4825268.0,49392.5737,,10.4016,2.5
2011-01-31,189.15,2656268.0,45187.9338,,,2.5
2011-02-28,168.18,2209588.0,40177.0065,,,2.5
2011-03-31,186.25,1269816.0,44495.1239,,,2.5
2011-04-30,184.65,2379780.0,44112.8839,,,2.5
2011-05-31,210.25,6177836.0,50228.7237,,,2.5
2011-06-30,239.6,5564490.0,57240.4385,,,2.5
2011-07-31,240.98,2356840.0,57568.926,,,3.25
2011-08-31,244.53,2722462.0,58417.021,,,3.25
2011-09-30,234.9,1958046.0,56117.6086,,10.5693,3.25
2011-10-31,234.53,1548370.0,56028.0211,,10.5524,3.25
2011-11-30,234.53,2567668.0,56028.0211,,10.5524,3.25
2011-12-31,224.3,3650276.0,53585.2686,,9.9585,3.25
2012-01-31,226.78,1034196.0,54176.5461,,,3.25
2012-02-29,260.2,4196838.0,62161.7784,,,3.25
2012-03-31,296.5,8037252.0,70834.3232,,,3.25
2012-04-30,280.9,3851956.0,67107.4583,,,3.25
2012-05-31,267.33,4078250.0,63864.3692,,,3.25
2012-06-30,262.68,1497044.0,62753.4767,,,3.25
2012-07-31,232.33,3391276.0,55502.8133,,,4.25
2012-08-31,250.5,5718524.0,59844.8498,,,4.25
2012-09-30,237.88,3829094.0,56828.7172,,,4.25
2012-10-31,241.83,5835890.0,57808.6544,,,4.25
2012-11-30,249.1,5017214.0,59547.7549,,,4.25
2012-12-31,249.38,2236346.0,59613.4941,,,4.25
2013-01-31,241.0,4536888.0,57611.4369,,,4.25
2013-02-28,240.75,2135362.0,57551.674,,,4.25
2013-03-31,262.48,4521046.0,62745.0701,,,4.25
2013-04-30,289.93,4084096.0,69350.5236,,,4.25
2013-05-31,362.1,12531770.0,86614.899,,,4.25
2013-06-30,337.15,8394012.0,80714.2635,,,4.25
2013-07-31,349.55,5559900.0,83682.8439,,,4.25
2013-08-31,351.2,9361614.0,84165.6566,,,4.25
2013-09-30,411.0,6259152.0,98496.8248,,13.019,4.25
2013-10-31,469.78,5975524.0,112582.35,,14.8808,4.25
2013-11-30,438.25,4673878.0,105027.332,,13.8822,4.25
2013-12-31,460.3,3432554.0,110403.7093,,14.5482,4.25
2014-01-31,441.28,3153682.0,105840.5319,,,4.25
2014-02-28,444.2,2426562.0,106542.098,,,4.25
2014-03-31,421.7,4218028.0,101145.4361,25.5484,12.6731,4.25
2014-04-30,432.03,4040834.0,103621.9042,26.1739,12.9834,4.25
2014-05-31,440.55,5637812.0,105666.6395,26.6904,13.2396,4.25
2014-06-30,504.2,8261522.0,120933.1963,28.8114,14.6679,4.25
2014-07-31,574.2,5809854.0,137722.811,32.8114,,6.0
2014-08-31,621.45,6973812.0,149055.8009,35.5114,,6.0
2014-09-30,696.03,6866092.0,166942.7444,28.1792,14.2494,6.0
2014-10-31,765.4,3871450.0,183582.4518,30.9879,15.6697,6.0
2014-11-30,823.97,6788004.0,197631.7466,33.3593,16.8689,6.0
2014-12-31,920.05,6326284.0,220675.5003,35.0762,18.2616,6.0
2015-01-31,944.5,8594912.0,226539.8728,36.0084,,6.0
2015-02-28,1047.7,9443982.0,251292.9307,39.9428,,6.0
2015-03-31,1079.28,9182266.0,258865.885,37.5858,20.7906,6.0
2015-04-30,1098.93,7456696.0,263578.9772,38.2701,21.1691,6.0
2015-05-31,1272.35,9245218.0,305175.2251,44.3096,24.5099,6.0
2015-06-30,1381.47,10295084.0,331487.1701,43.0567,26.0091,6.0
2015-07-31,1576.82,8906456.0,378361.7134,49.1452,,8.0
2015-08-31,1464.97,14505896.0,351523.1311,45.6592,,8.0
2015-09-30,1541.0,8727306.0,369765.4613,51.3239,22.2697,8.0
2015-10-31,1615.95,7544488.0,387749.8209,53.8201,23.3528,8.0
2015-11-30,1461.53,6595094.0,350695.313,48.6769,21.1212,8.0
2015-12-31,1483.15,6366958.0,355884.267,44.8285,21.5045,8.0
2016-01-31,1344.72,8500148.0,322668.9477,40.6446,,8.0
2016-02-29,1378.13,11270758.0,330683.3396,41.6541,,8.0
2016-03-31,1343.25,6896756.0,322315.0265,39.0423,15.4094,8.0
2016-04-30,1431.3,8609170.0,343442.7825,41.6015,16.4195,8.0
2016-05-31,1353.1,12289538.0,324678.5426,39.3286,15.5224,8.0
2016-06-30,1379.47,10000482.0,331007.2668,38.9361,15.8964,8.0
2016-07-31,1466.9,6402296.0,351985.053,41.4037,,10.0
2016-08-31,1730.28,13730720.0,415182.3135,48.8375,,10.0
2016-09-30,1682.0,6532770.0,403598.6411,46.7687,17.8295,10.0
2016-10-31,1657.85,4745994.0,397803.8017,46.0972,17.5735,10.0
2016-11-30,1516.45,9287494.0,363874.6338,42.1655,16.0746,10.0
2016-12-31,1443.15,6902476.0,346358.3637,39.686,15.2809,10.0
2017-01-31,1565.22,7488248.0,375656.548,43.043,,10.0
2017-02-28,1614.7,5845206.0,387530.6213,44.4035,,10.0
2017-03-31,1687.0,9599150.0,404882.7543,45.7687,15.0156,10.0
2017-04-30,1812.28,4513696.0,434948.9664,49.1675,16.1306,10.0
2017-05-31,1766.33,6817354.0,423920.8839,47.9208,15.7216,10.0
2017-06-30,1845.03,5580208.0,442901.2692,50.2452,16.1869,10.0
2017-07-31,1960.8,5038638.0,470823.9354,53.3981,,11.0
2017-08-31,2115.48,8549540.0,507964.2314,57.6103,,11.0
2017-09-30,2172.13,5566984.0,521566.9323,57.4022,18.1341,11.0
2017-10-31,2319.75,6222490.0,557014.3943,61.3035,19.3666,11.0
2017-11-30,2407.8,13181300.0,578156.809,63.6304,20.1017,11.0
2017-12-31,2354.63,6174752.0,565388.5192,59.4071,19.4774,11.0
2018-01-31,2342.07,6542284.0,562375.0347,59.0905,,11.0
2018-02-28,2497.13,5944820.0,599605.3999,63.0024,,11.0
2018-03-31,2485.3,6099462.0,596766.001,59.4208,17.5198,11.0
2018-04-30,2756.6,4250112.0,661910.0948,65.9073,19.4323,11.0
2018-05-31,2961.98,5400410.0,711224.3898,70.8176,20.8801,11.0
2018-06-30,3106.88,4675884.0,746017.5309,71.2831,21.6048,11.0
2018-07-31,3271.1,4810660.0,785450.958,75.051,,12.5
2018-08-31,3368.38,7999846.0,809482.1336,77.2829,,12.5
2018-09-30,2911.75,8464046.0,699746.7926,64.2416,19.1409,12.5
2018-10-31,2822.05,8273492.0,678190.2416,62.2625,18.5512,12.5
2018-11-30,3169.75,7421735.0,761748.9124,69.9338,20.8369,12.5
2018-12-31,3115.4,5680463.0,748687.6131,66.4902,20.3685,12.5
2019-01-31,3197.7,5160584.0,768465.8087,68.2467,,12.5
2019-02-28,3056.9,8982291.0,734628.9929,65.2417,,12.5
2019-03-31,3085.5,9277628.0,741502.0961,63.9548,17.4338,12.5
2019-04-30,2896.05,6012715.0,695973.7953,60.028,16.3633,12.5
2019-05-31,2921.95,13060942.0,702198.0392,60.5648,16.5097,12.5
2019-06-30,2743.7,8046021.0,659360.4966,57.232,15.402,12.5
2019-07-31,2605.0,8231483.0,626028.39,54.3388,,12.5
2019-08-31,2701.65,16433209.0,649255.1247,56.3548,,15.0
2019-09-30,2944.15,13122619.0,707532.2397,56.4554,19.5558,15.0
2019-10-31,3266.6,9574961.0,785022.7788,62.6385,21.6976,15.0
2019-11-30,3057.7,8901698.0,735279.0036,58.6328,20.3101,15.0
2019-12-31,3027.8,6511216.0,728089.0104,55.111,20.2413,15.0
2020-01-31,3200.7,8178238.0,769665.9276,58.2581,,15.0
2020-02-29,2970.2,9585932.0,714238.0536,54.0626,,15.0
2020-03-31,2688.95,15089272.0,646606.4286,46.2416,14.6862,15.0
2020-04-30,3165.75,22623810.0,761261.571,54.4411,17.2903,35.0
2020-05-31,3378.85,17411978.0,812505.3018,58.1058,18.4542,35.0
2020-06-30,3603.8,21708715.0,866899.9642,51.1976,19.221,35.0
2020-07-31,3823.6,23989143.0,920117.3365,54.3202,,35.0
2020-08-31,3726.05,12925994.0,896955.7337,52.9344,,118.0
2020-09-30,3798.15,12366029.0,914312.0516,51.1398,34.183,118.0
2020-10-31,3473.25,20293975.0,836100.3118,46.7652,31.259,118.0
2020-11-30,3637.95,19735579.0,876266.7811,48.9828,32.7412,118.0
2020-12-31,3576.35,14069560.0,861429.2946,45.9162,32.2548,118.0
2021-01-31,3501.1,15942691.0,843303.9561,44.9501,,118.0
2021-02-28,3363.75,17540887.0,810220.697,43.1867,,118.0
2021-03-31,3625.05,10889371.0,873159.5802,46.8119,24.6123,118.0
2021-04-30,3449.0,12670821.0,830754.7184,44.5385,23.417,62.0
2021-05-31,3447.85,11839122.0,830477.7199,44.5236,23.4092,74.5
2021-06-30,3649.65,8899786.0,879084.94,51.4625,24.8302,74.5
2021-07-31,3423.4,8661714.0,824588.5245,48.2722,,74.5
2021-08-31,3997.5,13588387.0,962871.0133,56.3674,,74.5
2021-09-30,3948.95,7311426.0,951176.8575,59.6801,52.7595,74.5
2021-10-31,3675.75,6351780.0,885371.639,55.5512,49.1095,74.5
2021-11-30,3545.5,7292804.0,853998.5435,53.5828,47.3693,74.5
2021-12-31,3606.0,5524101.0,868571.0754,57.5487,47.7487,74.5
2022-01-31,3535.3,4985429.0,851541.6868,56.4204,,74.5
2022-02-28,3427.45,6037621.0,825564.0411,54.6992,,74.5
2022-03-31,3206.4,9803540.0,772320.1043,50.654,30.1912,74.5
2022-04-30,3279.25,5247510.0,789867.3597,51.8049,30.8771,74.5
2022-05-31,3647.8,10866444.0,878639.3701,57.6272,34.3473,62.0
2022-06-30,3466.4,7514846.0,834945.8613,56.6961,32.0532,56.5
2022-07-31,3900.4,8819173.0,939482.7017,63.7946,,56.5
2022-08-31,3747.75,6939431.0,902714.1563,61.2978,,56.5
2022-09-30,3843.05,8960016.0,925668.9049,58.5206,45.3654,56.5
2022-10-31,3766.55,4744489.0,907242.4803,57.3557,44.4624,56.5
2022-11-30,4362.3,10942959.0,1050739.768,66.4276,51.495,56.5
2022-12-31,4307.45,5905676.0,1037528.142,48.4146,51.3297,56.5
2023-01-31,4317.6,5553892.0,1039972.955,48.5287,,56.5
2023-02-28,4461.75,7101040.0,1074694.12,50.1489,,56.5
2023-03-31,4322.15,5603619.0,1041068.906,44.8402,29.4564,56.5
2023-04-30,4553.55,5602499.0,1096805.829,47.2409,31.0334,72.0
2023-05-31,4657.05,8900444.0,1121735.698,48.3147,31.7388,72.0
2023-06-30,5024.55,7366144.0,1210254.797,49.5616,34.0226,72.0
2023-07-31,4793.95,7353265.0,1154710.568,47.2869,,72.0
2023-08-31,4467.75,11315617.0,1076139.33,44.0693,,72.0
2023-09-30,4537.15,7637872.0,1092855.589,43.0838,38.3779,72.0
2023-10-31,4426.5,7116112.0,1066203.512,42.033,37.442,72.0
2023-11-30,4852.65,5890250.0,1168849.537,46.0797,41.0466,72.0
2023-12-31,5338.45,7203111.0,1285863.355,59.5079,44.6783,72.0
2024-01-31,5198.4,7045500.0,1252129.75,57.9467,,72.0
2024-02-29,4965.2,6793616.0,1195959.263,55.3472,,72.0
2024-03-31,4911.25,5850635.0,1182964.419,55.2633,30.0129,72.0
2024-04-30,4775.95,7154269.0,1150374.938,53.7409,29.1861,72.0
2024-05-31,5179.8,10688069.0,1247649.6,58.2851,31.654,72.0
2024-06-30,5475.55,7278784.0,1318886.398,60.2636,33.1848,0.0
2024-07-31,5784.45,6017438.0,1393290.615,63.6633,,0.0
2024-08-31,5855.25,6983640.0,1410344.09,64.4425,,73.5
2024-09-30,6338.15,7447190.0,1526659.39,71.6094,47.561,73.5
2024-10-31,5726.9,6914956.0,1379428.644,64.7034,42.9742,73.5
2024-11-30,4941.15,10348872.0,1190166.381,55.8259,37.078,73.5
2024-12-31,4762.75,6724190.0,1147195.477,53.1854,36.0147,73.5
2025-01-31,5129.65,9826177.0,1235570.055,57.2825,,73.5
2025-02-28,4595.45,8718081.0,1106898.211,51.3171,,73.5
2025-03-31,4936.9,12652053.0,1189142.691,54.5815,27.3007,73.5
2025-04-30,5438.9,7096886.0,1310058.575,60.1316,30.0767,73.5
2025-05-31,5510.5,5353088.0,1327304.745,60.9232,30.4727,73.5
2025-06-30,5851.0,6006380.0,1409320.4,64.2402,32.0432,73.5
2025-07-31,5771.0,5702429.0,1390050.936,63.3619,,73.5
2025-08-31,5824.0,9198268.0,1402816.956,63.9438,,75.0
2025-09-30,5991.0,8458346.0,1443041.961,62.283,38.6555,75.0
2025-10-31,5836.5,5293625.0,1405827.81,60.6768,37.6587,75.0
2025-11-30,5846.0,10385467.0,1408116.058,60.7755,37.72,75.0
2025-12-31,6031.0,5017705.0,1452676.693,60.1476,38.7975,75.0
2026-01-31,5860.5,8289495.0,1411608.649,58.4472,,75.0
2026-02-28,6002.5,5988365.0,1445811.947,59.8634,,75.0
2026-03-31,5962.0,702043.0,1436056.781,59.4595,,75.0
